School Name,URL,School Size,Longitude (GPS),Latitude (GPS),Word1,Word2,Word3,Word4,Word5
Princeton,https://www.facebook.com/puniconfessions/,"8,374",40.3431,74.6551,,,,,
Princeton,https://www.facebook.com/PrincetonClassConfessions/,,,,,,,,
Harvard,https://www.facebook.com/theharvardconfessions/?__tn__=%2Cd%2CP-R&eid=ARBVumx3GDdS19NliG6hUW5ZeQhGOpsYLERy_13MiSp28blR9mdHUmgUOQbgrszzQ7XDV2kRnTsDs8TT,"20,739",42.377,71.1167,,,,,
Columbia,https://www.facebook.com/columbiaconfessionz/,"33,032",40.8075,73.9626,,,,,
MIT,https://www.facebook.com/beaverconfessions/,"11,520",42.3601,71.0942,,,,,
Yale,https://www.facebook.com/yaliesconfess/,"13,433",41.3163,72.9223,,,,,
Stanford,https://www.facebook.com/Stanford-Confessions-372644179500230/,"17,249",37.4275,122.1697,,,,,
Stanford,https://www.facebook.com/stanfordclassconfessions/,,,,,,,,
UChicago,https://www.facebook.com/UChicagoDisabilityConfessions/,"16,445",41.7886,87.5987,,,,,
UPenn,https://www.facebook.com/Penn-Confessions-675231812539118/,"21,960",39.9522,75.1932,,,,,
Northwestern,https://www.facebook.com/NU-Crushes-and-Confessions-1871340262900441/,"21,208",30.6156,42.055984,,,,,
JHU,https://www.facebook.com/hopkinsconfessions/?__tn__=%2Cd%2CP-R&eid=ARBorX_4s5AuZ4a3pxgblQPQACUcGLypAYogWFBaKzw_nkB0ZQJXMY-RitZ2fB-nQdvH6CWkltrYfT2I,"21,208",39.3299,76.6205,,,,,
Caltech,https://www.facebook.com/caltechconfessions/,"2,233",34.1377,118.1253,,,,,
Dartmouth,https://www.facebook.com/Dartmouth-Confessions-288747741287047/,"6,571",43.7044,72.2887,,,,,
Brown,https://www.facebook.com/BrownUConfessions/,"10,257",41.8268,71.4025,,,,,
Brown,https://www.facebook.com/brownclassconfessions/,,,,,,,,
Vanderbilt,https://www.facebook.com/VandyConfessions/?__tn__=%2Cd%2CP-R&eid=ARAusDPy_GNiLIBuT_QlZ0w5hBIG9fgI4uzskmYlyblAYfIbSMgMNsFXPQGZu4ujRZnx-ZYE_Z53kPgQ,"13,131",36.1447,86.8027,,,,,
Cornell,https://www.facebook.com/BigRedConfessions/,"15,043",42.4534,76.4735,,,,,
Cornell,https://www.facebook.com/cornellclassconfessions/,,,,,,,,
Rice,https://www.facebook.com/RiceConfess/,"7,124",29.7174,95.4018,,,,,
Wash U St. Louis,https://www.facebook.com/WashUConfessions/,"15,045",38.6488,90.3108,,,,,
Berkeley,https://www.facebook.com/berkeleyconfessions/,"43,204",37.8719,122.2585,,,,,
Georgetown,https://www.facebook.com/Georgetown-Confessions-409149419153181/,"19,005",38.9076,77.0723,,,,,
Carnegie Mellon,https://www.facebook.com/confessatcarnegiemellon/?__tn__=%2Cd%2CP-R&eid=ARDUOuUsoVJ1F6xky7TGK9uWeyEGTOZn31pThCli3ezPMkHX_Sz8sc9x5VUclhK02P-sCF7ckrQzOVIV,"14,799",40.4429,79.9431,,,,,
Carnegie Mellon,https://www.facebook.com/CarnegieConfessions/,,,,,,,,
UMich,https://www.facebook.com/confessionsmichigan/,"46,002",42.278,83.7382,,,,,
Wake Forest,https://www.facebook.com/Wake-Forest-Confessions-193237727483524/,"8,116",36.1354,80.2792,,,,,
NYU,https://www.facebook.com/NYUConfessions/,"51,848",40.7295,73.9965,,,,,
UNC Chapel Hill,https://www.facebook.com/UNC-Confessions-363362693777804/,"29,847",35.9049,79.0469,,,,,
University of Rochester,https://www.facebook.com/UofRCrushes/,"12,233",43.1306,77.626,,,,,
UCLA,https://www.facebook.com/UCLAConfessions/?__tn__=%2Cd%2CP-R&eid=ARArk2OrYuaeiABP4GBI8r4hK45d2xaROR6BtbQH_tfgTMZS8w84OC_XPWggq2eN6bcF-JLMKGAr4fij,"45,742",34.0689,118.4452,,,,,
University of Florida,https://www.facebook.com/UF-Crushes-Confessions-677795872306419/,"56,079",29.6436,82.3549,,,,,
UCI,https://www.facebook.com/AnteaterConfessions/?ref=search&__tn__=%2Cd%2CP-R&eid=ARAmz1FRJSZddkEePlN3UelHD9pzU9rhAOKltGx2MnAkdMzK0VL0JOSRpvuwXx9uFHXseoJhsoqMve1U,"35,220",33.6405,117.8443,,,,,
Boston University,https://www.facebook.com/BUconfessions/,"34,262",42.3505,71.1054,,,,,
UT Austin,https://www.facebook.com/LonghornConfessions/,"51,832",30.2849,97.7341,,,,,
Boston University,https://www.facebook.com/BUconfessions/,,,,,,,,
Tufts,https://www.facebook.com/TuftsSecrets/,,,,,,,,
University of West Georgia,https://www.facebook.com/University-of-West-Georgia-Confessions-460072650745798/,,,,,,,,
West Virginia,https://www.facebook.com/WVUConfess/,,,,,,,,
Ohio State,https://www.facebook.com/OsuConfessions/,,,,,,,,
University of Oklahoma,https://www.facebook.com/oucampusconfessions/,,,,,,,,
Indiana University,https://www.facebook.com/ConfessionsIU/,,,,,,,,
UCSB,https://www.facebook.com/UCSB-Dorm-Confessions-587287317951759/,,,,,,,,
Western Michigan,https://www.facebook.com/WMUconfessions/,,,,,,,,
Kennesaw State University,https://www.facebook.com/ksuconfessionspage/,,,,,,,,
Xavier,https://www.facebook.com/XUConfessionsOfficial/,,,,,,,,